"ncomp";"fold";"df";"aic";"bic";"cbic";"dev"
8;18;50500;4.38618501908322;5.15812088247514;4.4823081259223;4.94055617815494
8;19;50500;4.38823446652696;5.16017032991889;4.48435757336605;4.88794600413145
8;20;50500;4.4228183658211;5.19475422921302;4.51894147266018;5.02464934856572
9;1;56000;4.32904151747684;5.18504960361442;4.43563347753603;5.03091770535551
9;2;56000;4.32752886492548;5.18353695106306;4.43412082498466;5.51311112588544
9;3;56000;4.35535620779447;5.21136429393205;4.46194816785365;5.09687366884299
9;4;56000;4.36115515144527;5.21716323758285;4.46774711150446;4.95147072993959
9;5;56000;4.3348786444515;5.19088673058908;4.44147060451069;5.03697551622672
9;6;56000;4.32414924466439;5.18015733080197;4.43074120472357;5.1409307465671
9;7;56000;4.32430805491878;5.18031614105636;4.43090001497796;5.27152966749959
9;8;56000;4.33112146245366;5.18712954859124;4.43771342251285;5.20725982054149
9;9;56000;4.33998698417976;5.19599507031734;4.44657894423895;4.97804160951102
9;10;56000;4.31835907863398;5.17436716477156;4.42495103869317;5.06963113243867
9;11;56000;4.33322584011474;5.18923392625232;4.43981780017392;5.13485631838481
9;12;56000;4.31196783977776;5.16797592591534;4.41855979983694;5.07608567323626
9;13;56000;4.31476941730148;5.17077750343906;4.42136137736066;4.99970589861514
9;14;56000;4.35816829138827;5.21417637752586;4.46476025144746;5.01958426770389
9;15;56000;4.35657558109294;5.21258366723052;4.46316754115213;4.97851667894026
9;16;56000;4.33392684790476;5.18993493404234;4.44051880796394;5.11709769327463
9;17;56000;4.33365302756776;5.18966111370534;4.44024498762694;5.31889339594261
9;18;56000;4.32403233707276;5.18004042321034;4.43062429713195;5.08266703049405
9;19;56000;4.31862773470234;5.17463582083992;4.42521969476152;4.96254019186071
9;20;56000;4.32858153049475;5.18458961663233;4.43517349055394;5.32357322627782
10;1;61500;4.28048208340588;5.22056239228912;4.39754289668516;5.30775120851013
10;2;61500;4.28672083811088;5.22680114699412;4.40378165139017;5.25790575537308
10;3;61500;4.27456095222426;5.2146412611075;4.39162176550355;5.43932101205544
10;4;61500;4.34438184176424;5.28446215064747;4.46144265504352;4.90633690870811
10;5;61500;4.26215572821942;5.20223603710266;4.37921654149871;5.0954801947587
10;6;61500;4.2609984211501;5.20107873003334;4.37805923442939;5.30688832764046
10;7;61500;4.27324178042871;5.21332208931195;4.390302593708;4.98371670261481
10;8;61500;4.26656166340697;5.2066419722902;4.38362247668625;5.20555606977919
10;9;61500;4.26715873159535;5.20723904047859;4.38421954487464;5.22100527832375
10;10;61500;4.29234314045138;5.23242344933462;4.40940395373067;5.11670142051392
10;11;61500;4.27437914282122;5.21445945170446;4.3914399561005;5.01801918916278
10;12;61500;4.26345151460295;5.20353182348619;4.38051232788224;5.19726539875159
10;13;61500;4.28393218868984;5.22401249757307;4.40099300196912;5.24017086376395
10;14;61500;4.26962244548464;5.20970275436787;4.38668325876392;5.02893353477325
10;15;61500;4.29788870692434;5.23796901580758;4.41494952020363;5.08781119555132
10;16;61500;4.26707257375741;5.20715288264065;4.3841333870367;5.25014136069562
10;17;61500;4.24940679151583;5.18948710039907;4.36646760479512;5.09639903348866
10;18;61500;4.27261996825742;5.21270027714066;4.38968078153671;5.00219216168168
10;19;61500;4.28273210983932;5.22281241872255;4.3997929231186;4.99256681255385
10;20;61500;4.26652203082313;5.20660233970637;4.38358284410241;5.19105878733487
